municipality_code,total_poi_tourist,total_monuments_historiques,total_musees_galeries,total_plages,total_parcs_naturels,total_attractions_modernes,total_sites_randonnee,total_quartiers_culturels
04245,1,0,1,0,0,0,0,0
07011,1,0,1,0,0,0,0,0
40269,1,0,1,0,0,0,0,0
07228,1,0,1,0,0,0,0,0
64014,1,0,1,0,0,0,0,0
21132,1,0,0,0,0,0,1,0
23015,1,0,0,0,1,0,0,0
25500,1,0,0,0,0,0,1,0
2B168,1,0,0,0,0,1,0,0
38558,1,0,0,0,0,1,0,0
14601,1,0,0,0,0,1,0,0
51016,1,0,0,0,0,1,0,0
45148,1,0,0,0,0,1,0,0
95002,1,0,0,0,0,1,0,0
59432,1,0,0,0,0,1,0,0
83016,1,0,0,0,0,0,1,0
50166,1,0,0,0,1,0,0,0
17255,1,0,0,0,1,0,0,0
62616,1,0,0,0,1,0,0,0
51634,1,0,0,0,1,0,0,0
45067,1,0,0,1,0,0,0,0
86032,1,0,0,1,0,0,0,0
64240,1,0,0,0,0,0,1,0
67320,1,0,0,0,0,0,1,0
53151,1,0,0,0,0,0,1,0
05147,1,0,0,0,0,0,1,0
69160,1,0,0,0,0,0,1,0
63168,1,0,0,0,0,0,1,0
05073,1,0,0,0,0,0,1,0
88503,1,0,0,0,0,0,1,0
64171,1,0,0,0,0,0,1,0
19264,1,0,0,0,0,0,1,0
38067,1,0,0,0,0,0,1,0
85100,1,0,0,0,0,0,1,0
54366,1,0,0,0,0,0,1,0
70231,1,0,0,0,0,0,1,0
57287,1,0,0,0,0,0,1,0
87001,1,0,0,0,0,0,1,0
39086,1,0,0,0,0,0,1,0
11007,1,0,0,0,0,0,1,0
63276,1,0,0,0,0,0,1,0
14562,1,0,0,0,0,1,0,0
25212,1,0,0,0,0,1,0,0
76438,1,0,0,0,0,0,0,0
39310,1,0,0,0,0,0,0,0
91330,1,0,0,0,0,0,0,0
86198,1,0,0,0,0,0,0,0
02807,1,0,0,0,0,0,0,0
62898,1,0,0,0,0,0,0,0
76392,1,0,0,0,0,0,0,0
60249,1,0,0,0,0,0,0,0
17474,1,0,0,0,0,0,0,0
39045,1,0,0,0,0,0,0,0
71157,1,0,0,0,0,0,0,0
37038,1,0,0,0,0,0,0,0
39006,1,0,0,0,0,0,0,0
25127,1,0,0,0,0,0,0,0
60030,1,0,0,0,0,0,0,0
54156,1,0,0,0,0,0,0,0
50428,1,0,0,0,0,0,0,0
85246,1,0,0,0,0,0,0,0
23245,1,0,0,0,0,0,0,0
55546,1,0,0,0,0,0,0,0
55370,1,0,0,0,0,0,0,0
38197,1,0,0,0,0,0,0,0
57617,1,0,0,0,0,0,0,0
39472,1,0,0,0,0,0,0,0
39548,1,0,0,0,1,0,0,0
57168,1,0,0,0,1,0,0,0
69094,1,0,1,0,0,0,0,0
26114,1,0,1,0,0,0,0,0
24293,1,0,1,0,0,0,0,0
67046,1,0,1,0,0,0,0,0
37200,1,0,1,0,0,0,0,0
64348,1,0,1,0,0,0,0,0
77014,1,0,1,0,0,0,0,0
67372,1,0,1,0,0,0,0,0
06148,1,0,1,0,0,0,0,0
60333,1,0,1,0,0,0,0,0
76157,1,0,1,0,0,0,0,0
22330,1,0,1,0,0,0,0,0
88225,1,0,1,0,0,0,0,0
17207,1,0,1,0,0,0,0,0
59411,1,0,1,0,0,0,0,0
38261,1,0,1,0,0,0,0,0
81060,1,0,1,0,0,0,0,0
71480,1,0,1,0,0,0,0,0
14341,1,0,1,0,0,0,0,0
17309,1,0,1,0,0,0,0,0
31091,1,0,1,0,0,0,0,0
30321,1,0,1,0,0,0,0,0
63336,1,0,0,0,1,0,0,0
01057,1,0,0,0,1,0,0,0
14698,1,0,0,0,0,1,0,0
63224,1,0,0,0,0,1,0,0
73162,1,0,0,0,0,1,0,0
91184,1,0,0,0,0,1,0,0
22227,1,0,0,0,1,0,0,0
39425,1,0,0,0,1,0,0,0
2A040,1,0,0,0,1,0,0,0
62262,1,0,0,0,1,0,0,0
35329,1,0,0,0,1,0,0,0
66102,1,0,0,0,1,0,0,0
62075,1,0,0,0,1,0,0,0
22356,1,0,0,0,0,1,0,0
24074,1,0,0,0,0,1,0,0
43037,1,0,0,1,0,0,0,0
48131,1,0,0,0,0,0,1,0
82140,1,0,0,0,0,0,1,0
39120,1,0,0,0,0,0,1,0
33332,1,0,0,0,0,0,1,0
31277,1,0,0,0,0,0,1,0
74312,1,0,0,0,0,0,1,0
39275,1,0,0,0,0,0,1,0
38043,1,0,0,0,0,0,1,0
39367,1,0,0,0,0,0,1,0
60292,1,0,0,0,0,0,1,0
25582,1,0,0,0,0,0,1,0
63187,1,0,0,0,0,0,1,0
59385,1,0,0,0,0,0,1,0
47133,1,0,0,0,0,0,1,0
38304,1,0,0,0,0,0,1,0
50532,1,0,0,0,0,1,0,0
79048,1,0,0,0,0,1,0,0
01038,1,0,0,0,0,0,0,0
86228,1,0,0,0,0,0,0,0
08055,1,0,0,0,0,0,0,0
80485,1,0,0,0,0,0,0,0
60538,1,0,0,0,0,0,0,0
45238,1,0,0,0,0,0,0,0
88043,1,0,0,0,0,0,0,0
21045,1,0,0,0,0,0,0,0
57379,1,0,0,0,0,0,0,0
63463,1,0,0,0,0,0,0,0
71058,1,0,0,0,0,0,0,0
35109,1,0,0,0,0,0,0,0
70501,1,0,0,0,0,0,0,0
